bar_id,bar_pub_name,borough,building,address,zip,phone,latitude,longitude,score,grade,grade_dt,yelp_image_url,yelp_url,yelp_rating,yelp_price,day_0_hours_start,day_0_hours_end,day_1_hours_start,day_1_hours_end,day_2_hours_start,day_2_hours_end,day_3_hours_start,day_3_hours_end,day_4_hours_start,day_4_hours_end,day_5_hours_start,day_5_hours_end,day_6_hours_start,day_6_hours_end
50080253,ZUTTO JAPANESE AMERICAN PUB,Manhattan,77,HUDSON STREET,10013,6462555410,40.71838184,-74.00887074,9,A,2020-03-03,https://s3-media2.fl.yelpcdn.com/bphoto/HdPn0W4LerbG5uiopp0m_g/o.jpg,https://www.yelp.com/biz/zutto-japanese-american-pub-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1100,2200,1100,2200,1100,2200,1100,2200,1100,2300,1200,2300,1200,2200,1
40944804,BLAGGARD'S PUB,Manhattan,8,WEST   38 STREET,10018,2123822611,40.75120835,-73.98335418,13,A,2022-04-25,https://s3-media1.fl.yelpcdn.com/bphoto/Kmoc3szEt7DxkVI9WfxA2A/o.jpg,https://www.yelp.com/biz/blaggard-restaurant-manhattan?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.0,$$,1100,200,1100,200,1100,300,1100,359,1100,359,1100,359,1200,2200,1
50051486,STATE GRILL AND BAR,Manhattan,350,5 AVENUE,10118,2122169693,40.7482689,-73.98469027,6,A,2022-05-18,https://s3-media2.fl.yelpcdn.com/bphoto/rVSgU-dr4bZJ88VhcfjYuA/o.jpg,https://www.yelp.com/biz/state-grill-and-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$,1600,1900,1600,1900,1600,2100,1600,2100,1600,2100,1700,2100,,,1
50001225,THE FLYING COCK PUB,Manhattan,497,3 AVENUE,10016,2126896900,40.74538039,-73.97835367,7,A,2020-03-04,https://s3-media3.fl.yelpcdn.com/bphoto/LHs_MmXnjl4sVBdC0fxS4w/o.jpg,https://www.yelp.com/biz/the-flying-cock-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,,,1600,2300,1600,2300,1600,2300,1200,2300,1100,2300,1100,2200,1
50111156,CORK WINE BAR,Manhattan,69,THOMPSON STREET,10012,6466698169,40.72435201,-74.00307383,11,A,2022-02-14,https://s3-media2.fl.yelpcdn.com/bphoto/QyZ1CJMNqMC9myPwXiNp7A/o.jpg,https://www.yelp.com/biz/cork-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,,1700,0,1700,0,1700,100,1700,100,1700,100,1400,100,1400,2300,1
40719059,PARK BAR,Manhattan,15,EAST   15 STREET,10003,2123679085,40.73649191,-73.99263517,6,A,2022-03-22,https://s3-media4.fl.yelpcdn.com/bphoto/0uPhGDf7Rt5zVpuZU1-dgg/o.jpg,https://www.yelp.com/biz/park-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1600,0,1600,0,1600,0,1600,400,1600,400,1600,200,,,1
50088751,BREAK BAR,Manhattan,458,9 AVENUE,10018,2129330929,40.75436046,-73.99557486,12,A,2022-06-08,https://s3-media3.fl.yelpcdn.com/bphoto/CBay3MkiIOfloMi7IoI3Jw/o.jpg,https://www.yelp.com/biz/break-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1600,0,1600,0,1600,0,1600,100,1600,100,1400,100,1400,0,1
40576150,FELICE 64 WINE BAR,Manhattan,1166,1 AVENUE,10065,2125932223,40.76263717,-73.95975002,3,A,2019-11-21,https://s3-media4.fl.yelpcdn.com/bphoto/f9qgrks1V4jX5SAzqSOQ8w/o.jpg,https://www.yelp.com/biz/felice-83-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$$,1200,2200,1200,2200,1200,2230,1200,2230,1200,2230,1200,2230,1200,2200,1
41530127,INTERNATIONAL BAR,Manhattan,102,1 AVENUE,10009,2126774595,40.72652231,-73.98605186,2,A,2022-05-31,https://s3-media2.fl.yelpcdn.com/bphoto/NIZcplAhUmMGZVNrBA5gYQ/o.jpg,https://www.yelp.com/biz/international-bar-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$,800,400,800,400,800,400,800,400,800,400,800,400,1000,400,1
50090193,SIDE BAR,Manhattan,55,HUDSON YARDS,10001,2159134007,40.75543921,-74.00221983,5,A,2022-06-10,https://s3-media2.fl.yelpcdn.com/bphoto/0oC3VssQ0t1gSEEf9HWlmA/o.jpg,https://www.yelp.com/biz/b-side-pizza-and-wine-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,,,1600,2300,1600,2300,1600,2300,1600,0,1600,0,1600,2300,1
41605861,PIER 25 SNACK BAR,Manhattan,225,WEST STREET,10013,9173024616,40.71996526,-74.01225483,10,A,2019-08-01,https://s3-media2.fl.yelpcdn.com/bphoto/yDrusUDVL_ZOnrMvGwh5HA/o.jpg,https://www.yelp.com/biz/pier-25-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,,,,,,,,,,,,,,,,1
41667090,COOL FRESH JUICE BAR,Manhattan,2661,BROADWAY,10025,6465065554,40.79797884,-73.96936121,2,A,2021-08-10,https://s3-media4.fl.yelpcdn.com/bphoto/8LSpJ6mDWmRuT5mQqFFo6Q/o.jpg,https://www.yelp.com/biz/cool-fresh-juice-bar-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$,900,2000,900,2000,900,2000,900,2000,900,2000,930,2000,1000,1900,1
41687345,JACK DOYLES PUB & RESTAURANT,Manhattan,240,WEST   35 STREET,10001,2122681255,40.75216441,-73.9913774,11,A,2020-01-30,https://s3-media4.fl.yelpcdn.com/bphoto/Vvb1L1cqAjFRvQiQWmzZiw/o.jpg,https://www.yelp.com/biz/jack-doyles-bar-and-restaurant-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1000,400,1000,400,1000,400,1000,400,1000,400,1000,400,1000,400,1
50000782,SOLACE BAR & GRILL,Manhattan,3496,BROADWAY,10031,2129260166,40.82498372,-73.95148838,12,A,2019-07-31,https://s3-media4.fl.yelpcdn.com/bphoto/UiwUGlGwNBj1t6ofyOGhJg/o.jpg,https://www.yelp.com/biz/solace-bar-and-grill-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,,,,,,,,,1700,2200,1700,2200,1800,2200,1
50066436,LIVE HEALTHY JUICE BAR,Manhattan,2372,AMSTERDAM AVENUE,10033,2129287575,40.84588905,-73.93252278,39,Z,2022-07-19,,https://www.yelp.com/biz/live-healthy-juice-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,5.0,,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,2100,1
40399852,HANGAR BAR,Manhattan,115,CHRISTOPHER STREET,10014,2126272044,40.73322026,-74.00539435,12,A,2019-10-29,https://s3-media2.fl.yelpcdn.com/bphoto/xBwpGDIIRyE_QLy7a5Be1g/o.jpg,https://www.yelp.com/biz/the-hangar-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$,1500,400,1500,400,1500,400,1500,400,1500,400,1400,400,1300,400,1
50061031,WHITE & CASE COFFEE BAR & PANTRY,Manhattan,1221,AVENUE OF THE AMERICAS,10036,6468852175,40.75909387,-73.98213574,7,A,2022-07-07,https://s3-media3.fl.yelpcdn.com/bphoto/ezceEo2DkGLfJuBk-j1SHw/o.jpg,https://www.yelp.com/biz/devocion-brooklyn-12?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,800,1900,800,1900,800,1900,800,1900,800,1900,800,1900,800,1900,1
41328516,SUTTON BAR ROOM,Manhattan,1074,1 AVENUE,10022,2129809850,40.7592647,-73.96221026,12,A,2022-03-22,https://s3-media3.fl.yelpcdn.com/bphoto/eJlbIc8-v3eHSAA_zfBkSQ/o.jpg,https://www.yelp.com/biz/sutton-bar-room-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1600,400,1600,400,1600,400,1600,400,1600,400,1200,400,1200,400,1
50033014,CROMPTON ALE HOUSE,Manhattan,159,WEST   26 STREET,10001,2126580089,40.74548652,-73.99303115,9,A,2021-08-26,https://s3-media2.fl.yelpcdn.com/bphoto/fwpd9IdRIYqmmzp4Nl-h5A/o.jpg,https://www.yelp.com/biz/crompton-ale-house-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1
50001643,MAMASITA BAR,Manhattan,818,10 AVENUE,10019,2123159444,40.76741691,-73.98977974,13,A,2022-08-04,https://s3-media3.fl.yelpcdn.com/bphoto/f3Gcpda9NsCVVUKTh1b1ng/o.jpg,https://www.yelp.com/biz/mamasita-bar-and-grill-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$,1130,2300,1130,2300,1130,2230,1130,2330,1130,0,1130,0,1130,2300,1
50077824,HARLEM ALE HOUSE,Manhattan,101,WEST  127 STREET,10027,3476410850,40.80926988,-73.94499755,12,A,2019-09-11,https://s3-media1.fl.yelpcdn.com/bphoto/A3ckzsCk5DOdF2rZd4QCgw/o.jpg,https://www.yelp.com/biz/harlem-ale-house-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,,,,,1600,2300,1500,2300,1500,2300,1500,2300,,,1
50076081,MUSES 35 BAR & KARAOKE,Manhattan,248,WEST   35 STREET,10001,6466698050,40.75223304,-73.99153981,2,A,2022-01-18,https://s3-media3.fl.yelpcdn.com/bphoto/by0H42IKgvpbpv1j0ORVXg/o.jpg,https://www.yelp.com/biz/gagopa-karaoke-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,1830,400,1830,400,1830,400,1830,400,1800,400,1800,400,1900,400,1
41183237,809 GRILL & BAR RESTAURANT,Manhattan,112,DYCKMAN STREET,10040,2123043800,40.86201245,-73.92502273,10,A,2019-04-25,https://s3-media2.fl.yelpcdn.com/bphoto/0rEd4Fzw2TA8uFcZZ7ebvw/o.jpg,https://www.yelp.com/biz/republica-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,2.5,$$,1600,0,1600,0,1600,0,1600,0,1600,0,1400,400,1300,400,1
41211246,SUNBURST ESPRESSO BAR,Manhattan,206,3 AVENUE,10003,2126741702,40.73587363,-73.98530656,8,A,2020-02-12,https://s3-media1.fl.yelpcdn.com/bphoto/AQLzb65fxaZTt9E2cSOE8w/o.jpg,https://www.yelp.com/biz/sunburst-espresso-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$,,,,,,,,,,,,,,,1
50075683,PRIMO'S BAR,Manhattan,95,WEST BROADWAY,10013,9175123432,40.71558215,-74.00916616,12,A,2022-06-22,https://s3-media4.fl.yelpcdn.com/bphoto/Sa6zE-OtpnutVI_ySVXJZA/o.jpg,https://www.yelp.com/biz/bar-primi-new-york-3?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1200,2200,1200,2200,1200,2300,1200,2300,1200,2300,1700,2300,1700,2200,1
41380930,INATESSO PIZZA BAR CASANO,Manhattan,28,WEST STREET,10006,2122678000,40.70695185,-74.01594582,2,A,2022-04-12,https://s3-media2.fl.yelpcdn.com/bphoto/nnAk1txBE_-5EDggdBMbSQ/o.jpg,https://www.yelp.com/biz/inatteso-pizzabar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1600,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1
50059434,MILK BAR WEST VILLAGE,Manhattan,74,CHRISTOPHER STREET,10014,3472425762,40.73351952,-74.00338457,8,A,2019-07-30,https://s3-media4.fl.yelpcdn.com/bphoto/nH4HIgTF_7V4BBdW6ec8SA/o.jpg,https://www.yelp.com/biz/milk-bar-west-village-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1000,2300,1000,2300,1000,0,1000,0,1000,100,1000,100,1000,2300,1
40388578,DIVE BAR,Manhattan,732,AMSTERDAM AVENUE,10025,2127494358,40.79383183,-73.97053688,10,A,2019-11-25,https://s3-media3.fl.yelpcdn.com/bphoto/a95NgrsukXWY47GTJEFrqQ/o.jpg,https://www.yelp.com/biz/the-library-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,1200,400,1200,400,1200,400,1200,400,1200,400,1200,400,1200,400,1
50095918,CASA TUYA BAR & KITCHEN,Manhattan,25,SHERMAN AVENUE,10040,6463704184,40.86264594,-73.92846741,12,A,2020-03-04,https://s3-media1.fl.yelpcdn.com/bphoto/hENjo5nQndSN0p6SEtADbw/o.jpg,https://www.yelp.com/biz/casa-maya-gillette-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1700,2100,1700,2100,1700,2100,1700,2100,1130,2200,1130,2200,1200,2100,1
50059584,Carmine Street Beer,Manhattan,52,CARMINE STREET,10014,2126332337,40.72995131,-74.00360448,8,A,2022-05-12,https://s3-media3.fl.yelpcdn.com/bphoto/JXEoX6Gj7OMLr7ktpLoNyw/o.jpg,https://www.yelp.com/biz/carmine-street-beers-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1130,2200,1200,2000,1
40401895,JOHNNY'S BAR,Manhattan,90,GREENWICH AVENUE,10011,2127415279,40.73773825,-74.00179704,5,A,2022-01-05,https://s3-media4.fl.yelpcdn.com/bphoto/zD04mi0wg69M7pIjhzCN8A/o.jpg,https://www.yelp.com/biz/johnnys-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,1200,400,1200,400,1200,400,1200,400,1200,400,1200,400,1200,400,1
41585053,REGGAE SUN DELIGHTS NATURAL JUICE BAR,Manhattan,227229,WEST 145 STREET,,6463689725,0.0,0.0,7,A,2020-01-09,https://s3-media4.fl.yelpcdn.com/bphoto/S0I359Os6hJ24F9wzeR8mg/o.jpg,https://www.yelp.com/biz/the-simpson-restaurant-and-bar-brooklyn?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300,1100,2300,1100,2300,1
40365525,DONUT PUB,Manhattan,203,WEST   14 STREET,10011,2129290126,40.73874834,-74.00014434,26,B,2022-06-23,https://s3-media1.fl.yelpcdn.com/bphoto/yXdJNvLgpUc_11UJDW7nxQ/o.jpg,https://www.yelp.com/biz/the-donut-pub-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41509909,BILL'S BAR & BURGER ROCKEFELLER CENTER,Manhattan,45,ROCKEFELLER CENTER,10111,2127058510,40.75926055,-73.97784378,7,A,2019-04-29,https://s3-media3.fl.yelpcdn.com/bphoto/-lK_eGupnMYEgWruK2mu6Q/o.jpg,https://www.yelp.com/biz/bills-bar-and-burger-downtown-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,700,2200,700,2200,700,2200,700,2200,700,2300,700,2300,700,2200,1
40998586,TRUMP BAR,Manhattan,725,5 AVENUE,10022,2127157290,40.76250136,-73.97428699,8,A,2022-03-29,https://s3-media2.fl.yelpcdn.com/bphoto/8q0bHnlQ8Sqnvh6z59Ht0A/o.jpg,https://www.yelp.com/biz/the-trump-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$$,1130,1600,1130,1600,1130,1600,1130,1600,1130,1600,1130,1600,1130,1600,1
50101896,Amores Cafe and Salad Juice Bar,Manhattan,5025,BROADWAY,10034,3473403235,40.86938998,-73.91661515,5,A,2020-03-06,https://s3-media2.fl.yelpcdn.com/bphoto/ZbJxx7Rl8fUH7Pg4GU2p3g/o.jpg,https://www.yelp.com/biz/da-andrea-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1130,2200,1130,2200,1130,2200,1130,2200,1130,2300,1100,2300,1100,2200,1
41574266,MOMOFUKU MILK BAR,Manhattan,251,EAST   13 STREET,10003,3475779504,40.73212444,-73.9865414,13,A,2022-07-26,https://s3-media4.fl.yelpcdn.com/bphoto/2xYDsaWyFxdCNyY1z5pVRQ/o.jpg,https://www.yelp.com/biz/milk-bar-east-village-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1100,0,1100,0,1100,0,1100,0,1100,30,1100,30,1100,0,1
50063282,BOND 45 ITALIAN KITCHEN AND BAR,Manhattan,221,WEST   46 STREET,10036,2128694545,40.75901756,-73.98609195,7,A,2020-01-15,https://s3-media3.fl.yelpcdn.com/bphoto/eUTdsZpTQhROG2acKpyj7g/o.jpg,https://www.yelp.com/biz/bar-pitti-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1200,2200,1200,2330,1200,2330,1200,2330,1200,0,1200,0,1200,2330,1
50064720,SANT AMBROEUS COFFEE BAR,Manhattan,1136,3 AVENUE,10065,6463055813,40.76615712,-73.96322798,8,A,2022-07-06,https://s3-media3.fl.yelpcdn.com/bphoto/mIy788ustWMTv3Vgsm17Pg/o.jpg,https://www.yelp.com/biz/sant-ambroeus-coffee-bar-at-loews-regency-hotel-new-york-3?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,700,1900,700,1900,700,1900,700,1900,700,1900,700,1900,700,1900,1
50084143,ENJOY KITCHEN & BAR,Manhattan,582,WEST  207 STREET,10034,6463989321,40.86693088,-73.92073635,10,A,2019-07-10,https://s3-media3.fl.yelpcdn.com/bphoto/PhJHgMSHo0S56QzzvLJpWg/o.jpg,https://www.yelp.com/biz/the-bar-room-new-york-7?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$$,700,2200,700,2300,700,2300,700,2300,700,2300,700,2300,700,2200,1
41645425,NEW YORK BEER COMPANY,Manhattan,321,WEST   44 STREET,10036,2122452337,40.75888344,-73.98966915,13,A,2019-07-16,https://s3-media2.fl.yelpcdn.com/bphoto/K9GrZ9FgDuvl1hkeh3o73Q/o.jpg,https://www.yelp.com/biz/the-new-york-beer-company-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,,,,,,,,,,,,,,,1
50087890,LOBBY BAR,Manhattan,701,7 AVENUE,10036,6469431582,40.75928635,-73.98454334,12,A,2019-04-18,https://s3-media2.fl.yelpcdn.com/bphoto/RXZ97ZpFl0aNdFQ_MteL5g/o.jpg,https://www.yelp.com/biz/lobby-bar-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,5.0,,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,1
40722206,BLUE & GOLD BAR,Manhattan,79,EAST    7 STREET,10003,2127771006,40.7272909,-73.98648826,13,A,2022-03-22,https://s3-media2.fl.yelpcdn.com/bphoto/lSjuweZTwwCkXXqKU944_g/o.jpg,https://www.yelp.com/biz/blue-and-gold-tavern-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$,1630,400,1630,400,1600,400,1600,400,1600,400,1600,400,1630,400,1
40677553,MERCURY BAR,Manhattan,659,9 AVENUE,10036,2122627755,40.76081311,-73.99089978,13,A,2021-07-22,https://s3-media1.fl.yelpcdn.com/bphoto/u22nndvppLP8_pEANm721Q/o.jpg,https://www.yelp.com/biz/mercury-bar-new-york-8?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1100,0,1100,0,1100,0,1100,0,1100,200,1000,200,1000,0,1
50001622,EARL'S BEER & CHEESE,Manhattan,1259,PARK AVENUE,10029,2122891581,40.78743575,-73.95189141,10,A,2022-06-02,https://s3-media4.fl.yelpcdn.com/bphoto/AoDHcGc8V6dejm-awIPZPA/o.jpg,https://www.yelp.com/biz/earls-beer-and-cheese-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1600,0,1100,0,1100,0,1100,0,1100,200,1100,200,1100,1600,1
41455044,MR. BIGGS BAR AND GRILL,Manhattan,596,10 AVENUE,10036,2122462030,40.76038518,-73.99490305,13,A,2022-04-18,https://s3-media2.fl.yelpcdn.com/bphoto/9MI1BqccIfnx4TWjozwTuQ/o.jpg,https://www.yelp.com/biz/mr-biggs-bar-and-grill-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.0,$$,1200,0,1200,0,1200,0,1200,0,1200,1300,1200,1600,1200,400,1
41700209,LATITUDE BAR & GRILL,Manhattan,783,8 AVENUE,10036,2122453034,40.76080727,-73.98718895,14,B,2019-09-12,https://s3-media1.fl.yelpcdn.com/bphoto/_PnUEepOaFbMIpGOq2r4iQ/o.jpg,https://www.yelp.com/biz/latitude-bar-and-grill-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,,,1600,0,1600,0,1600,300,1600,300,1600,300,,,1
50110467,SNACK BAR,Manhattan,679,RIVERSIDE DRIVE,10031,9145575042,40.82711109,-73.95196018,22,B,2022-05-18,https://s3-media3.fl.yelpcdn.com/bphoto/53Rw0soSHFMXkPvUamuPwg/o.jpg,https://www.yelp.com/biz/the-belfry-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1700,200,1700,200,1700,200,1700,200,1700,200,1700,200,1700,200,1
40382802,PARNELL'S PUB,Manhattan,350,EAST   53 STREET,10022,2127531761,40.7562384,-73.96595866,10,A,2021-08-05,https://s3-media2.fl.yelpcdn.com/bphoto/DraMqGHbJr_syo4k_996Hg/o.jpg,https://www.yelp.com/biz/parnells-pub-and-restaurant-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1
